23:36:24.518 [main] INFO  org.ehcache.EhcacheManager - Cache 'preConfigured' created in EhcacheManager.
23:36:24.518 [main] INFO  org.ehcache.EhcacheManager - Initialize successful.
23:36:24.520 [main] INFO  org.ehcache.EhcacheManager - Cache 'myCache' is getting created in EhcacheManager.
23:36:24.520 [main] INFO  org.ehcache.spi.serialization.DefaultSerializationProvider - Serializer for <java.lang.String> : org.ehcache.internal.serialization.CompactJavaSerializer@15e3f51
23:36:24.520 [main] INFO  org.ehcache.spi.copy.DefaultCopyProvider - Copier for <java.lang.String> : org.ehcache.internal.copy.IdentityCopier@7873d3
23:36:24.520 [main] INFO  org.ehcache.spi.copy.DefaultCopyProvider - Copier for <java.lang.Object> : org.ehcache.internal.copy.IdentityCopier@8bc8f8
23:36:24.523 [main] INFO  class org.ehcache.Ehcache-myCache - Initialize successful.
23:36:24.523 [main] INFO  org.ehcache.EhcacheManager - Cache 'myCache' created in EhcacheManager.
23:36:36.409 [main] INFO  org.jarvis.core.services.CoreServerDaemon - jarvis.server.url = null
23:36:40.498 [main] INFO  org.jarvis.core.services.CoreServerDaemon - jarvis.neo4j.url = null
